leaid,ncessch,report_dis,report_race,report_sex,counselors_fte,psych_fte,law_fte,enrollment,teachers_fte,lunch_program,title1_s,title1_e,read_test,math_test
0400001,040000100120,0,0,0,1,1,0,470,22,1,NA,1,71,61
0400001,040000100616,0,0,1,1,1,0,345,16,1,NA,NA,62,60
0400001,040000101204,0,0,1,1,1,0,1819,68,1,0,1,70,68
0400001,040000101871,0,1,1,1,1,0,935,35,1,0,1,54,58
0400001,040000101872,0,0,0,1,1,0,626,28,1,NA,NA,73,63
0400001,040000102344,0,0,0,1,1,0,524,26,1,NA,NA,74,77
0400001,040000102484,0,0,0,1,1,0,651,29,1,NA,NA,84,85
0400001,040000103334,0,0,0,0,1,0,42,3,0,0,1,NA,NA
0400003,040000300147,0,0,0,0,0,1,534,25,1,1,1,57,49
0400003,040000301198,0,0,0,0,0,1,568,28,1,1,1,43,38
0400003,040000301458,0,0,0,1,0,1,601,34,1,1,1,24.5,34.5
0400003,040000301969,0,0,0,0,0,1,539,26,1,1,1,NA,NA
0400004,040000400912,0,0,0,1,1,1,460,23,1,1,1,59,45
0400005,040000500629,0,0,0,0,0,0,139,9,1,0,0,22,22
0400016,040001600476,0,0,0,0,0,0,123,NA,1,0,0,49.5,30
0400016,040001600481,0,0,0,0,0,0,160,NA,1,0,0,24.5,44.5
0400016,040001601942,0,0,0,0,0,0,229,NA,1,0,0,57,52
0400016,040001602442,0,0,0,0,0,0,255,NA,1,0,0,39,48
0400016,040001602443,0,0,0,0,0,0,395,NA,1,0,0,46,32
0400018,040001800496,0,0,0,1,0,0,302,NA,0,NA,1,42,32
0400019,040001900498,0,0,0,1,0,0,273,NA,0,0,0,57,32
0400020,040002001179,0,0,0,0,0,0,189,NA,0,0,0,62,47
0400021,040002101276,0,0,0,0,1,0,230,12,1,1,1,42,52
0400021,040002103446,0,0,0,0,1,0,313,14,1,1,1,57,57
0400022,040002201354,0,0,0,0,0,0,100,8,1,0,0,47,32
0400023,040002301352,0,0,0,0,0,0,514,30,1,0,0,12,16
0400023,040002301355,0,0,0,1,0,0,283,18,1,0,0,13,30
0400023,040002301524,0,0,0,0,0,0,297,19,1,0,0,24.5,24.5
0400026,040002601389,0,0,0,0,0,0,131,7,1,0,0,57,77
0400026,040002601459,0,0,0,1,0,0,83,1,0,0,0,32,22
0400026,040002601460,0,0,0,1,0,0,124,3,1,0,0,75,75
0400026,040002601767,0,0,0,0,0,0,148,8,1,0,0,44.5,64.5
0400028,040002800528,0,0,0,1,1,0,86,NA,0,0,0,52,32
0400031,040003100689,0,0,0,0,0,0,555,NA,1,0,0,68,67
0400033,040003300703,0,0,0,0,0,0,232,NA,1,1,1,42,37
0400034,040003400707,0,0,0,0,0,0,767,NA,0,0,0,79,76
0400036,040003600709,0,0,0,0,0,0,282,NA,0,0,0,67,57
0400036,040003603421,0,0,0,0,0,0,16,NA,0,0,0,75,75
0400037,040003700712,0,0,0,0,0,0,179,NA,0,0,0,57,47
0400037,040003703168,0,0,0,0,0,0,119,NA,0,0,0,69.5,69.5
0400040,040004003343,0,0,0,0,0,0,85,NA,1,1,1,15,24.5
0400041,040004100718,0,0,0,1,0,1,254,NA,1,1,1,44.5,44.5
0400043,040004300733,0,0,0,0,0,0,173,NA,0,0,0,54.5,54.5
0400047,040004700744,0,0,0,1,0,1,225,NA,1,1,1,17,17
0400047,040004703031,0,0,0,1,1,0,66,NA,1,1,1,24.5,24.5
0400052,040005200752,1,0,0,0,0,0,357,NA,1,1,1,27,27
0400053,040005300754,0,1,0,0,0,0,678,NA,0,0,0,68,51
0400054,040005400756,0,0,0,0,0,0,488,NA,0,0,0,68,60
0400055,040005501731,0,0,0,0,0,0,63,NA,1,1,1,24.5,34.5
0400056,040005600781,0,0,0,0,0,0,840,NA,0,0,0,81,71
0400057,040005700784,0,1,1,1,0,0,147,NA,0,0,0,24.5,24.5
0400061,040006101742,0,0,0,1,0,0,93,NA,0,1,1,30,30
0400065,040006501599,0,0,0,0,0,0,736,NA,0,0,0,59,62
0400065,040006501600,0,0,0,0,0,0,538,NA,0,0,0,65,73
0400065,040006502685,0,0,0,0,0,0,716,NA,0,0,0,66,70
0400065,040006503395,0,0,0,1,0,0,995,NA,0,0,0,61,64
0400067,040006701901,0,0,0,0,0,0,32,NA,1,0,0,NA,NA
0400068,040006800825,0,0,0,0,0,0,107,NA,0,0,0,74.5,44.5
0400068,040006801745,0,0,0,0,0,0,187,NA,0,0,0,82,67
0400069,040006900826,0,0,0,0,0,0,149,NA,0,0,0,97.5,87
0400070,040007000831,0,0,1,1,1,0,438,NA,0,0,0,74,67
0400071,040007100832,0,0,0,0,0,0,246,NA,0,0,0,92,77
0400072,040007200834,0,0,0,0,0,0,251,NA,0,0,0,97.5,77
0400072,040007202264,0,0,0,0,0,0,225,NA,0,0,0,92,67
0400074,040007401604,0,0,0,0,1,1,296,NA,0,NA,1,NA,NA
0400074,040007401605,0,0,0,0,1,1,330,NA,0,NA,1,59,58
0400074,040007401759,0,0,0,0,1,1,337,NA,0,0,1,59,56
0400074,040007402185,0,0,0,0,1,1,391,NA,0,0,1,57,37
0400075,040007500893,0,0,0,0,0,0,398,NA,0,1,1,63,54
0400077,040007700943,0,1,1,1,0,0,45,NA,1,1,1,24.5,24.5
0400078,040007801006,0,0,0,1,0,0,154,NA,1,0,0,30,10
0400078,040007802386,0,0,0,1,0,0,54,NA,0,0,0,24.5,24.5
0400079,040007901008,0,0,0,0,0,0,346,NA,1,1,1,17,17
0400079,040007903035,0,0,0,0,0,0,86,NA,1,1,1,24.5,24.5
0400081,040008101010,0,0,1,0,1,0,388,NA,1,1,1,63,57
0400082,040008200006,0,0,0,1,0,0,526,25,1,1,1,54.5,44.5
0400082,040008201457,0,0,1,1,0,1,1152,58,1,1,1,37,32
0400082,040008203225,0,0,0,0,0,0,164,3,1,1,1,24.5,5
0400083,040008301011,0,0,0,0,0,0,149,NA,1,0,0,10,10
0400083,040008301014,0,0,0,0,0,0,100,NA,1,0,0,30,10
0400083,040008301015,0,0,0,0,0,0,142,NA,1,0,0,10,24.5
0400083,040008301016,0,0,0,0,0,0,125,NA,1,0,0,10,24.5
0400083,040008301017,0,0,0,0,0,0,89,NA,1,0,0,10,10
0400083,040008301018,0,0,0,0,0,0,75,NA,1,0,0,10,10
0400089,040008901063,0,0,0,0,0,0,151,NA,0,1,1,54.5,44.5
0400090,040009001066,0,0,0,0,0,0,150,NA,1,1,1,42,27
0400092,040009201075,0,0,0,0,0,0,452,NA,1,1,1,50,44
0400093,040009301086,0,0,0,0,0,0,219,NA,0,NA,1,67,57
0400094,040009401109,0,0,0,1,0,1,91,NA,1,0,0,10,10
0400095,040009501114,0,0,0,1,0,0,93,NA,1,0,0,10,10
0400096,040009601174,0,0,0,1,0,0,197,NA,0,0,0,72,57
0400097,040009701178,0,1,0,1,1,0,644,NA,0,0,0,68,66
0400098,040009801180,0,0,0,1,0,0,298,NA,0,NA,1,51,42
